Dataset,kNN,DWkNN,DTree,NBayes,SVM,MLP
Ecoli,0.7736301533805644,0.7477753369804595,0.6703426978129466,0.5184171411731148,0.728741673989528,0.7082444674147358
Glass,0.7224357924248219,0.8207899602977002,0.9057424797424798,0.7825612242971577,0.8126722062194199,0.8225489476696908
Haberman,0.5292631376371487,0.5482669256231079,0.6154076982536483,0.5677088291801171,0.5598722246931551,0.5799498640835458
Ionosphere,0.7980893017913437,0.7979850206395488,0.8906301830848916,0.8707885112777319,0.9366264231970384,0.9203002202578825
Iris,0.9467621267621267,0.9573101299571889,0.9499663299663299,0.9476310726310727,0.9607263107263107,0.9520651570651569
Pima,0.680913346407577,0.698128243957342,0.6922178139994319,0.719619170640823,0.7050387268634183,0.6918981790849135
Sonar,0.7778505230149968,0.8128709592382363,0.7205578905803055,0.6760500226467718,0.8861306461737497,0.8506196985400447
Thyroid,0.8928140182433351,0.9181316103747534,0.9056950558985226,0.9189887742711331,0.9261641923888263,0.9479738922141591
Vehicle,0.6944881099294895,0.7091538951399461,0.66745749464205,0.4200086136889629,0.8359403973737345,0.8307407350109063
WDBC,0.9606708281381868,0.9584476842476318,0.9156549648638765,0.9310534110165924,0.9712695384740954,0.9781641837295121
Wine,0.9562716314186902,0.9618528094998684,0.8959235862177038,0.9748439577851344,0.9694004470475059,0.9854930887825624
,0.7939262699225709,0.8118829614505259,0.8026905631874716,0.7570609753280556,0.84478025337698,0.8425453121684644
